"Time","HICKS_CYN","",""
"and","11.50","",""
"Date","Rainfall (in.) ALERT transmitted","",""
"Date and time","Total","Quality","Comments"
00:00:00 10/01/2014,        0.16,      1,Sites:
00:00:00 11/01/2014,        0.43,      1,HICKS_CYN - Hicks Canyon Lat:33.74587983 Long:-117.70403 Elev:1083ft
00:00:00 12/01/2014,        4.41,      1, 
00:00:00 01/01/2015,        1.22,      1,Variables:
00:00:00 02/01/2015,        0.78,      1,11 - Rainfall (Inches)
00:00:00 03/01/2015,        0.51,      1, 
00:00:00 04/01/2015,        0.28,    151,Qualities:
00:00:00 05/01/2015,        1.38,      1,1 - Good continuous records
00:00:00 06/01/2015,        0.00,    255,151 - Data Missing
00:00:00 07/01/2015,        1.69,      1,255 - No data exists

